round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1,2,6,9
1,0.1331,6,8,9
2,0.1946,7,9,9
3,0.2044,7,10,9
4,0.2403,7,10,9
5,0.2453,7,10,9
6,0.2905,7,11,9
7,0.2984,7,11,9
8,0.3325,7,11,9
9,0.344,7,11,9
10,0.3508,7,13,9
11,0.3439,7,13,9
12,0.3838,7,13,9
13,0.3855,7,13,9
14,0.3791,7,13,9
15,0.3986,8,13,9
16,0.4264,8,13,9
17,0.4158,8,13,9
18,0.4364,8,13,9
19,0.445,8,13,9
20,0.4438,8,13,9
21,0.4505,8,13,9
22,0.4605,8,13,9
23,0.4617,8,13,9
24,0.4783,8,13,9
25,0.4753,8,13,9
26,0.4681,8,13,9
27,0.492,8,13,9
28,0.4667,8,13,9
29,0.5003,8,13,9
30,0.4795,8,13,9
31,0.5061,8,13,9
32,0.4881,8,13,9
33,0.5033,8,13,9
34,0.4988,8,14,9
35,0.4555,8,16,9
36,0.4909,8,16,9
37,0.4607,8,16,9
38,0.4885,8,16,9
39,0.4907,8,16,9
40,0.4966,8,16,9
41,0.4953,8,16,9
42,0.4271,9,18,9
43,0.4365,9,19,9
44,0.4258,9,19,9
45,0.4541,9,19,9
46,0.4306,9,19,9
47,0.43,9,19,9
48,0.4262,9,19,9
49,0.4451,9,19,9
