round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2148,1,4,6
1,0.4885,4,6,6
2,0.6516,5,8,6
3,0.7235,5,8,6
4,0.7515,5,8,6
5,0.7685,5,8,6
6,0.7814,5,8,6
7,0.7905,5,8,6
8,0.7986,5,8,6
9,0.8107,5,8,6
10,0.8096,5,8,6
11,0.8127,5,8,6
12,0.8224,5,8,6
13,0.8211,5,8,6
14,0.8273,5,8,6
15,0.8282,5,8,6
16,0.8296,5,8,6
17,0.8322,5,8,6
18,0.8337,5,8,6
19,0.833,5,8,6
20,0.8368,5,8,6
21,0.8356,5,8,6
22,0.8393,5,8,6
23,0.8435,5,8,6
24,0.8385,5,8,6
25,0.8394,5,8,6
26,0.8376,5,8,6
27,0.8456,5,8,6
28,0.8413,5,8,6
29,0.8463,5,8,6
30,0.842,5,8,6
31,0.8451,5,8,6
32,0.8461,5,8,6
33,0.8467,5,8,6
34,0.8441,5,8,6
35,0.8484,5,8,6
36,0.8448,5,8,6
37,0.8497,5,8,6
38,0.8499,5,8,6
39,0.8482,5,8,6
40,0.851,5,8,6
41,0.8481,5,8,6
42,0.8503,5,8,6
43,0.8457,5,8,6
44,0.8509,5,8,6
45,0.8524,5,8,6
46,0.8523,5,8,6
47,0.8513,5,8,6
48,0.8512,5,8,6
49,0.8544,5,8,6
