round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1611,1,5,9
1,0.2172,1,5,9
2,0.233,4,7,9
3,0.2946,4,7,9
4,0.3014,4,7,9
5,0.3211,4,7,9
6,0.3503,5,9,9
7,0.3577,5,9,9
8,0.3693,5,9,9
9,0.3852,5,9,9
10,0.3858,5,9,9
11,0.3941,5,9,9
12,0.3975,5,9,9
13,0.411,5,9,9
14,0.4075,5,9,9
15,0.4371,6,9,9
16,0.4377,6,9,9
17,0.4469,6,9,9
18,0.4518,6,9,9
19,0.4622,6,9,9
20,0.4632,6,9,9
21,0.4734,6,9,9
22,0.4752,6,9,9
23,0.4728,6,9,9
24,0.4867,6,9,9
25,0.4915,6,9,9
26,0.4979,7,11,9
27,0.5083,7,11,9
28,0.5105,7,11,9
29,0.5116,7,11,9
30,0.5184,7,11,9
31,0.523,7,12,9
32,0.5276,7,12,9
33,0.5361,7,12,9
34,0.5253,7,12,9
35,0.5369,7,12,9
36,0.5325,7,12,9
37,0.5492,7,12,9
38,0.5434,7,12,9
39,0.5383,7,12,9
40,0.5505,7,12,9
41,0.5469,7,12,9
42,0.5546,7,12,9
43,0.5566,7,12,9
44,0.5539,7,12,9
45,0.5668,7,12,9
46,0.5765,8,12,9
47,0.5861,8,12,9
48,0.5863,8,12,9
49,0.5818,8,12,9
