round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3252,4,4,9
1,0.4084,7,6,9
2,0.6092,8,7,9
3,0.5922,8,7,9
4,0.6336,8,7,9
5,0.645,8,7,9
6,0.7215,8,9,9
7,0.7218,8,10,9
8,0.7577,8,10,9
9,0.7642,8,10,9
10,0.7793,8,10,9
11,0.7663,8,10,9
12,0.7867,8,10,9
13,0.7832,8,10,9
14,0.7916,8,10,9
15,0.7968,8,10,9
16,0.7933,8,10,9
17,0.7992,8,10,9
18,0.802,8,10,9
19,0.8061,8,10,9
20,0.8181,8,10,9
21,0.8096,8,10,9
22,0.8194,8,10,9
23,0.8137,8,10,9
24,0.8202,8,10,9
25,0.8254,8,10,9
26,0.8272,8,10,9
27,0.8237,8,10,9
28,0.8247,8,10,9
29,0.8334,8,10,9
30,0.8356,8,10,9
31,0.8258,8,10,9
32,0.8356,8,10,9
33,0.8361,8,10,9
34,0.8391,8,10,9
35,0.8378,8,10,9
36,0.8412,8,10,9
37,0.8432,8,10,9
38,0.8467,8,10,9
39,0.8393,8,10,9
40,0.8469,8,10,9
41,0.8455,9,11,9
42,0.8478,9,11,9
43,0.8433,9,11,9
44,0.8465,9,11,9
45,0.8503,9,11,9
46,0.8516,9,11,9
47,0.855,9,11,9
48,0.8513,9,11,9
49,0.8542,9,11,9
