round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.0717,5,3,9
1,0.1355,5,3,9
2,0.1361,5,3,9
3,0.135,6,6,9
4,0.134,6,6,9
5,0.1335,6,6,9
6,0.1285,6,6,9
7,0.0719,6,6,9
8,0.0719,6,6,9
9,0.0719,6,6,9
10,0.0719,6,6,9
11,0.0719,6,6,9
12,0.0719,6,6,9
13,0.0719,6,8,9
14,0.0719,6,10,9
15,0.0731,6,10,9
16,0.0731,6,10,9
17,0.0731,6,10,9
18,0.0731,6,10,9
19,0.0731,6,10,9
20,0.0731,6,10,9
21,0.0731,6,10,9
22,0.0731,6,10,9
23,0.0731,6,10,9
24,0.0731,6,10,9
25,0.0731,6,10,9
26,0.0731,6,10,9
27,0.0731,6,10,9
28,0.0731,6,10,9
29,0.0731,6,10,9
30,0.0731,6,10,9
31,0.0731,6,10,9
32,0.0731,6,10,9
33,0.0731,6,10,9
34,0.0731,6,10,9
35,0.0731,6,10,9
36,0.0731,6,10,9
37,0.0731,6,10,9
38,0.0731,6,10,9
39,0.0731,6,10,9
40,0.0731,6,10,9
41,0.0731,6,10,9
42,0.0731,6,10,9
43,0.0731,6,10,9
44,0.0731,6,10,9
45,0.0731,6,10,9
46,0.0731,6,10,9
47,0.0731,6,10,9
48,0.0731,6,10,9
49,0.0731,6,10,9
