round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1421,2,1,6
1,0.1881,2,1,6
2,0.2847,5,5,6
3,0.3652,5,5,6
4,0.3665,5,5,6
5,0.4278,5,5,6
6,0.442,5,5,6
7,0.4449,5,5,6
8,0.4695,5,5,6
9,0.4719,5,5,6
10,0.4719,5,5,6
11,0.49,5,5,6
12,0.4883,5,5,6
13,0.4999,5,5,6
14,0.5005,5,5,6
15,0.5003,5,5,6
16,0.5474,6,7,6
17,0.5313,6,7,6
18,0.5358,6,7,6
19,0.5361,6,7,6
20,0.537,6,7,6
21,0.5484,6,7,6
22,0.5479,6,7,6
23,0.576,6,7,6
24,0.6101,6,7,6
25,0.6392,6,7,6
26,0.6222,6,7,6
27,0.6468,6,7,6
28,0.6192,6,7,6
29,0.638,6,7,6
30,0.6452,6,12,6
31,0.6547,6,12,6
32,0.6571,6,12,6
33,0.6624,6,12,6
34,0.661,6,12,6
35,0.6583,6,12,6
36,0.6565,6,12,6
37,0.6581,6,12,6
38,0.6607,6,12,6
39,0.6593,6,12,6
40,0.6581,6,12,6
41,0.6558,6,12,6
42,0.6597,6,12,6
43,0.6578,6,12,6
44,0.6583,6,12,6
45,0.6556,6,12,6
46,0.6598,6,12,6
47,0.6597,6,12,6
48,0.6596,6,12,6
49,0.653,6,12,6
