round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1913,2,3,3
1,0.3615,2,3,3
2,0.5413,2,3,3
3,0.629,2,3,3
4,0.6641,2,3,3
5,0.706,2,3,3
6,0.7198,2,3,3
7,0.7335,2,3,3
8,0.7478,2,3,3
9,0.7514,2,3,3
10,0.7646,2,3,3
11,0.7671,2,3,3
12,0.7742,2,3,3
13,0.7757,2,3,3
14,0.7766,2,3,3
15,0.7829,2,3,3
16,0.7791,2,5,3
17,0.7746,2,5,3
18,0.7796,2,5,3
19,0.7806,2,5,3
20,0.782,2,5,3
21,0.7813,2,5,3
22,0.7826,2,5,3
23,0.7731,2,5,3
24,0.7807,2,5,3
25,0.788,2,5,3
26,0.7835,2,5,3
27,0.7837,2,5,3
28,0.7878,2,5,3
29,0.7886,2,5,3
30,0.7801,2,5,3
31,0.7861,2,5,3
32,0.7945,2,5,3
33,0.7932,2,5,3
34,0.7879,2,5,3
35,0.7911,2,5,3
36,0.7842,2,5,3
37,0.7917,2,5,3
38,0.7648,2,5,3
39,0.7767,2,5,3
40,0.7857,2,5,3
41,0.7836,2,5,3
42,0.7857,2,5,3
43,0.779,2,5,3
44,0.7762,2,5,3
45,0.7818,2,5,3
46,0.7767,2,5,3
47,0.7709,2,5,3
48,0.7788,2,5,3
49,0.7863,2,5,3
