round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.1484,1,4,9
1,0.386,4,8,9
2,0.5276,4,8,9
3,0.6128,4,8,9
4,0.6439,4,8,9
5,0.6948,4,8,9
6,0.7085,4,8,9
7,0.7106,4,8,9
8,0.7379,4,8,9
9,0.7264,4,8,9
10,0.7499,4,8,9
11,0.7338,4,8,9
12,0.7608,4,8,9
13,0.7205,4,8,9
14,0.7651,4,8,9
15,0.7365,4,8,9
16,0.7731,4,8,9
17,0.7209,4,8,9
18,0.8196,7,11,9
19,0.789,7,11,9
20,0.8134,7,11,9
21,0.8031,7,11,9
22,0.8181,7,11,9
23,0.7957,7,11,9
24,0.8226,7,11,9
25,0.8022,7,11,9
26,0.8181,7,11,9
27,0.7989,7,11,9
28,0.8183,7,11,9
29,0.8088,7,11,9
30,0.8128,7,11,9
31,0.8184,7,11,9
32,0.8128,7,11,9
33,0.8106,7,11,9
34,0.8131,7,11,9
35,0.8065,7,11,9
36,0.8145,7,11,9
37,0.8175,7,11,9
38,0.7933,7,11,9
39,0.8253,7,11,9
40,0.802,7,11,9
41,0.8199,7,11,9
42,0.792,7,11,9
43,0.8212,7,11,9
44,0.8068,7,11,9
45,0.8199,7,11,9
46,0.8083,7,11,9
47,0.8003,7,11,9
48,0.8064,7,11,9
49,0.8124,7,11,9
