round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.2082,0,5,6
1,0.4823,3,5,6
2,0.6001,3,5,6
3,0.634,3,6,6
4,0.7306,4,8,6
5,0.7383,4,8,6
6,0.7652,4,8,6
7,0.7712,4,8,6
8,0.7867,4,8,6
9,0.789,4,8,6
10,0.8021,4,8,6
11,0.7903,4,8,6
12,0.8006,5,9,6
13,0.8061,5,9,6
14,0.8129,5,9,6
15,0.8182,5,9,6
16,0.8217,5,9,6
17,0.8268,5,9,6
18,0.8239,5,9,6
19,0.834,5,9,6
20,0.8298,5,9,6
21,0.8397,5,9,6
22,0.841,5,9,6
23,0.8453,5,9,6
24,0.8329,5,9,6
25,0.8474,5,9,6
26,0.8472,5,9,6
27,0.8513,5,9,6
28,0.8492,5,9,6
29,0.8516,5,9,6
30,0.8542,5,9,6
31,0.8561,5,9,6
32,0.8559,5,9,6
33,0.8591,5,9,6
34,0.8573,5,9,6
35,0.8574,5,9,6
36,0.8603,5,9,6
37,0.8605,5,9,6
38,0.8632,5,9,6
39,0.8623,5,9,6
40,0.8596,5,9,6
41,0.8648,5,9,6
42,0.8642,5,9,6
43,0.8661,5,9,6
44,0.8649,5,9,6
45,0.8672,5,9,6
46,0.8674,5,9,6
47,0.8713,5,9,6
48,0.8688,5,9,6
49,0.8696,5,9,6
