round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.0355,2,6,6
1,0.17,5,8,6
2,0.3042,5,8,6
3,0.4221,5,8,6
4,0.501,5,8,6
5,0.5732,5,8,6
6,0.6148,5,8,6
7,0.6229,5,8,6
8,0.6436,5,8,6
9,0.7529,6,10,6
10,0.7663,6,10,6
11,0.7722,6,10,6
12,0.7882,6,10,6
13,0.7952,6,10,6
14,0.7931,6,10,6
15,0.8002,6,10,6
16,0.8046,6,10,6
17,0.8161,6,10,6
18,0.815,6,10,6
19,0.8202,6,10,6
20,0.8261,6,10,6
21,0.8271,6,10,6
22,0.8301,6,10,6
23,0.8298,6,10,6
24,0.8311,6,10,6
25,0.8322,6,10,6
26,0.8324,6,10,6
27,0.8392,6,10,6
28,0.8328,6,10,6
29,0.8356,6,10,6
30,0.8385,6,10,6
31,0.8389,6,10,6
32,0.8457,6,10,6
33,0.8434,6,10,6
34,0.8432,6,10,6
35,0.8413,6,10,6
36,0.8414,6,10,6
37,0.8389,6,10,6
38,0.8438,6,10,6
39,0.843,6,10,6
40,0.846,6,10,6
41,0.8439,6,10,6
42,0.849,6,10,6
43,0.8487,6,10,6
44,0.8466,6,10,6
45,0.8474,6,10,6
46,0.8489,6,10,6
47,0.848,6,10,6
48,0.8437,6,10,6
49,0.8488,6,10,6
