round,acc,excluded_malicious,excluded_honest,n_malicious
0,0.3684,1,6,6
1,0.4276,1,12,6
2,0.5172,2,16,6
3,0.5645,2,16,6
4,0.5968,4,16,6
5,0.6141,4,16,6
6,0.622,4,16,6
7,0.6106,4,16,6
8,0.6083,4,18,6
9,0.6096,4,18,6
10,0.6145,5,18,6
11,0.6145,5,18,6
12,0.6147,5,18,6
13,0.6163,5,18,6
14,0.6181,5,18,6
15,0.6193,5,18,6
16,0.6192,5,18,6
17,0.62,5,18,6
18,0.6206,5,18,6
19,0.6225,5,18,6
20,0.6235,5,18,6
21,0.6275,5,18,6
22,0.6307,5,18,6
23,0.632,5,18,6
24,0.6312,5,18,6
25,0.6334,5,18,6
26,0.6394,5,18,6
27,0.6361,5,18,6
28,0.6393,5,18,6
29,0.6346,5,18,6
30,0.6436,5,18,6
31,0.6358,5,18,6
32,0.6404,5,18,6
33,0.6474,5,18,6
34,0.6415,5,18,6
35,0.6447,5,18,6
36,0.6417,5,18,6
37,0.6404,5,18,6
38,0.654,5,18,6
39,0.6489,5,18,6
40,0.652,5,18,6
41,0.6496,5,18,6
42,0.6556,5,18,6
43,0.6555,5,18,6
44,0.6556,5,18,6
45,0.6569,5,18,6
46,0.6556,5,18,6
47,0.6558,5,18,6
48,0.6555,5,18,6
49,0.656,5,18,6
