dataset,attack,agg,f,c,acc_mean,acc_std,n,asr_mean,asr_std
fmnist,signflip,oracle,0.3,3,0.8704,0.0094,3,,
fmnist,signflip,reputation,0.1,3,0.8797,0.005,3,,
fmnist,signflip,reputation,0.2,3,0.8801,0.0042,3,,
fmnist,signflip,reputation,0.3,3,0.867,0.0128,3,,
fmnist,signflip,reputation_ov4,0.1,3,0.8786,0.0045,3,,
fmnist,signflip,reputation_ov4,0.2,3,0.88,0.0043,3,,
fmnist,signflip,reputation_ov4,0.3,3,0.8694,0.0095,3,,
fmnist,signflip,reputation_tf,0.1,3,0.8781,0.004,3,,
fmnist,signflip,reputation_tf,0.2,3,0.1,0.0,3,,
fmnist,signflip,reputation_tf,0.3,3,0.1,0.0,3,,
fmnist,signflip,trimmed,0.1,3,0.8545,0.0123,3,,
fmnist,signflip,trimmed,0.2,3,0.1,0.0,3,,
fmnist,signflip,trimmed,0.3,3,0.1,0.0,3,,
