round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,11.535856599999534,9,0,0,7,2,2,0.444,0.095,1.0
1,0.1834,11.60930300000473,9,0,0,8,0,0,0.222,0.048,0.7543333333333333
2,0.246,11.583529000003182,9,0,0,6,3,1,0.222,0.143,0.6981111111111111
3,0.2779,11.234677299995383,9,0,0,7,4,2,0.25,0.214,0.6405555555555555
4,0.3058,11.425795099996321,9,0,0,7,2,0,0.2,0.229,0.9763333333333334
5,0.3337,11.567238100004033,9,0,0,7,3,3,0.241,0.23,0.8006666666666666
6,0.3612,11.723272800001723,9,0,0,7,6,5,0.302,0.279,0.916
7,0.3774,11.491844399999536,9,0,0,5,4,3,0.333,0.286,0.9254444444444444
8,0.3803,11.40427759999875,9,0,0,7,6,4,0.358,0.323,0.9698888888888889
9,0.4239,11.58144600000378,9,0,0,8,1,1,0.333,0.3,0.9345555555555556
10,0.3859,11.668148699995072,9,0,0,5,5,2,0.343,0.32,0.9623333333333334
11,0.4357,11.65982530000474,9,0,0,9,0,0,0.315,0.294,0.9441111111111111
12,0.4382,11.746041600003082,9,0,0,7,1,1,0.299,0.278,0.9504444444444444
13,0.4645,11.381647799993516,9,0,0,7,2,1,0.286,0.276,0.9626666666666667
14,0.475,11.555148800005554,9,0,0,7,6,4,0.311,0.295,0.9484444444444444
15,0.4769,11.650682799998322,9,0,0,7,2,1,0.299,0.292,0.9457777777777778
16,0.4819,11.350644300000567,9,0,0,8,3,3,0.301,0.291,0.9568888888888889
17,0.4795,11.4103793999966,9,0,0,5,2,0,0.284,0.291,0.9625555555555556
18,0.4873,11.390676600000006,9,0,0,7,4,3,0.292,0.296,0.9456666666666667
19,0.4837,11.479742800001986,9,0,0,6,1,1,0.283,0.286,0.9538888888888889
20,0.5006,11.741856799999368,9,0,0,7,3,1,0.275,0.29,0.9571111111111111
21,0.5073,11.579321400000481,9,0,0,6,3,2,0.278,0.29,0.9548888888888889
22,0.5182,11.87932870000077,9,0,0,5,5,2,0.28,0.302,0.9487777777777778
23,0.5273,11.746988800005056,9,0,0,5,4,3,0.292,0.304,0.9553333333333334
24,0.5222,11.303298700004234,9,0,0,8,1,0,0.28,0.297,0.9495555555555556
25,0.5282,11.497354600003746,9,0,0,8,3,2,0.278,0.299,0.961
26,0.543,11.288228700002946,9,0,0,7,2,2,0.276,0.295,0.9503333333333334
27,0.5294,11.469982899994648,9,0,0,6,3,2,0.274,0.296,0.9544444444444444
28,0.5457,11.59818660000019,9,0,0,8,1,1,0.268,0.289,0.9553333333333334
29,0.5462,11.59259849999944,9,0,0,8,2,1,0.263,0.287,0.9561111111111111
30,0.5544,11.507727099997282,9,0,0,7,4,3,0.272,0.289,0.946
31,0.5405,11.490365300000121,9,0,0,6,5,3,0.274,0.298,0.9681111111111111
32,0.5548,11.493391099997098,9,0,0,8,1,1,0.269,0.291,0.951
33,0.5659,11.661093299997447,9,0,0,7,2,2,0.268,0.289,0.9605555555555556
34,0.5476,11.525975299999118,9,0,0,5,7,4,0.279,0.301,0.9632222222222222
35,0.5636,11.599843399999372,9,0,0,7,4,3,0.281,0.304,0.9582222222222222
36,0.5691,11.642490799997177,9,0,0,7,2,1,0.276,0.302,0.9637777777777777
37,0.5735,11.711293899999873,9,0,0,7,1,1,0.278,0.294,0.9502222222222222
38,0.5777,11.33597010000085,9,0,0,6,5,2,0.276,0.303,0.9714444444444444
39,0.5851,11.40258570000151,9,0,0,7,1,1,0.272,0.298,0.953
40,0.5788,11.342539400000533,9,0,0,7,4,3,0.274,0.301,0.9678888888888889
41,0.595,11.145813700000872,9,0,0,7,2,1,0.272,0.298,0.9572222222222222
42,0.5916,11.123154499997327,9,0,0,7,3,2,0.271,0.299,0.9611111111111111
43,0.5984,11.101910100005625,9,0,0,6,1,0,0.265,0.295,0.9618888888888889
44,0.597,10.968247699995118,9,0,0,8,3,2,0.264,0.296,0.9607777777777777
45,0.6058,10.879579499996908,9,0,0,7,3,2,0.266,0.296,0.9548888888888889
46,0.6075,11.265470199999982,9,0,0,9,0,0,0.26,0.29,0.9615555555555556
47,0.6126,11.105621800001245,9,0,0,7,4,3,0.262,0.293,0.9676666666666667
48,0.6122,10.759596199997759,9,0,0,8,1,1,0.259,0.289,0.9554444444444444
49,0.62,10.49489039999753,9,0,0,6,3,2,0.26,0.289,0.9585555555555556
