round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,asr
0,0.1,6.034574600009364,9,0,1,1.0
1,0.1689,5.258282499999041,9,0,1,0.9615555555555556
2,0.2204,5.388181899994379,9,0,1,0.8308888888888889
3,0.2739,5.400438299999223,9,0,1,0.7558888888888889
4,0.2869,5.27040140000463,9,0,2,0.9128888888888889
5,0.3266,5.014486999993096,9,0,2,0.9645555555555556
6,0.3525,5.148775800000294,9,0,2,0.9663333333333334
7,0.3853,5.109045799996238,9,0,2,0.9831111111111112
8,0.4066,5.174370199994883,9,0,2,0.9557777777777777
9,0.4264,5.144228499993915,9,0,2,0.9668888888888889
10,0.4287,5.180441600008635,9,0,2,0.9584444444444444
11,0.4383,5.164413600010448,9,0,2,0.9586666666666667
12,0.4544,5.067988800001331,9,0,2,0.9601111111111111
13,0.4613,5.094271599999047,9,0,2,0.9635555555555556
14,0.4672,5.117931500004488,9,0,2,0.9593333333333334
15,0.4763,5.10153210000135,9,0,2,0.9585555555555556
16,0.4777,5.156006200006232,9,0,2,0.9634444444444444
17,0.4897,5.1647817000048235,9,0,2,0.9678888888888889
18,0.4915,5.138122199990903,9,0,2,0.9643333333333334
19,0.5001,5.099921100001666,9,0,2,0.9643333333333334
20,0.5025,4.312328200001502,9,0,2,0.9703333333333334
21,0.5152,4.08088539999153,9,0,2,0.9656666666666667
22,0.5154,3.737378899997566,9,0,2,0.9686666666666667
23,0.5257,3.719043999997666,9,0,2,0.9677777777777777
24,0.5245,4.282678200004739,9,0,2,0.9658888888888889
25,0.5315,5.05124380000052,9,0,2,0.9714444444444444
26,0.53,5.05672510000295,9,0,2,0.9697777777777777
27,0.5365,5.1716219000081765,9,0,2,0.9706666666666667
28,0.5445,5.161084699997446,9,0,2,0.972
29,0.55,4.815136400007759,9,0,2,0.9705555555555555
30,0.5511,4.330967700007022,9,0,2,0.9734444444444444
31,0.5558,4.299500299995998,9,0,2,0.9702222222222222
32,0.5591,4.341583399989759,9,0,2,0.9723333333333334
33,0.5575,5.124300700001186,9,0,2,0.9732222222222222
34,0.5665,4.955171699999482,9,0,2,0.9766666666666667
35,0.5696,4.897208199996385,9,0,2,0.9704444444444444
36,0.5748,4.848541100000148,9,0,2,0.9742222222222222
37,0.5735,4.805596699996386,9,0,2,0.9757777777777777
38,0.5777,4.927558199997293,9,0,2,0.9744444444444444
39,0.5793,4.88005069999781,9,0,2,0.9772222222222222
40,0.5817,4.973600499986787,9,0,2,0.9743333333333334
41,0.5878,4.926111399996444,9,0,2,0.9744444444444444
42,0.5909,4.87001009999949,9,0,2,0.9806666666666667
43,0.5898,5.047970700004953,9,0,2,0.9804444444444445
44,0.5993,4.99160349999147,9,0,2,0.9805555555555555
45,0.5978,5.046553699998185,9,0,2,0.9792222222222222
46,0.6039,5.024656699999468,9,0,2,0.9786666666666667
47,0.6023,5.066551699987031,9,0,2,0.9764444444444444
48,0.6094,4.974262500007171,9,0,2,0.9772222222222222
49,0.6081,4.993588600002113,9,0,2,0.9781111111111112
