round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1211,9.293933300010394,0,0,0
1,0.2266,8.270267499989131,0,0,1
2,0.2665,9.094330300024012,0,0,1
3,0.2864,8.464028300018981,0,0,1
4,0.3125,8.293949699989753,0,0,1
5,0.3434,8.147801100014476,0,0,1
6,0.365,9.028297399985604,0,0,1
7,0.3988,8.892515599989565,0,0,1
8,0.4159,7.938223000004655,0,0,1
9,0.4308,8.864999599987641,0,0,1
10,0.4401,8.894862499990268,0,0,1
11,0.4469,9.072968199994648,0,0,2
12,0.4631,8.546505000005709,0,0,2
13,0.4633,8.59079779998865,0,0,2
14,0.4708,8.565653600002406,0,0,2
15,0.4806,8.607331499981228,0,0,2
16,0.4919,8.6313551000203,0,0,2
17,0.4963,8.57825769999181,0,0,2
18,0.5011,8.682866099989042,0,0,2
19,0.5156,8.654230300016934,0,0,2
20,0.5118,8.657248500006972,0,0,2
21,0.5213,8.631915399979334,0,0,2
22,0.5269,8.60927640000591,0,0,2
23,0.5323,8.59150330000557,0,0,2
24,0.5395,8.611942199990153,0,0,2
25,0.5439,8.585439899994526,0,0,2
26,0.5442,8.706809099996462,0,0,2
27,0.5511,8.642856500024209,0,0,2
28,0.5487,8.526681699993787,0,0,2
29,0.559,8.525210399995558,0,0,2
30,0.5601,8.567609099991387,0,0,2
31,0.5666,8.52738159999717,0,0,2
32,0.5661,8.561292300000787,0,0,2
33,0.5749,8.633325900009368,0,0,2
34,0.5776,8.60942300001625,0,0,2
35,0.5813,8.640888699999778,0,0,2
36,0.5888,8.576230900012888,0,0,2
37,0.5946,8.602036099997349,0,0,2
38,0.5921,8.539041100011673,0,0,2
39,0.5969,8.525200700009009,0,0,2
40,0.5969,8.56730019999668,0,0,2
41,0.6068,8.54669859999558,0,0,2
42,0.6103,8.53478119999636,0,0,2
43,0.611,8.557159999996657,0,0,2
44,0.612,8.648195999994641,0,0,2
45,0.6131,8.733735299989348,0,0,2
46,0.6206,8.668541199993342,0,0,2
47,0.6186,8.614038600004278,0,0,2
48,0.6231,8.590087399992626,0,0,2
49,0.6276,8.581706099997973,0,0,2
