round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.16,9,9,0
1,0.2253,9,9,0
2,0.2526,9,9,0
3,0.2784,9,9,0
4,0.3104,9,9,0
5,0.3324,9,9,0
6,0.3657,9,9,0
7,0.4021,9,9,0
8,0.4092,9,9,0
9,0.4238,9,9,0
10,0.4368,9,9,0
11,0.4477,9,9,0
12,0.4531,9,9,0
13,0.4731,9,9,0
14,0.4704,9,9,0
15,0.4811,9,9,0
16,0.4873,9,9,0
17,0.497,9,9,0
18,0.5011,9,9,0
19,0.5071,9,9,0
20,0.5077,9,9,0
21,0.5146,9,9,0
22,0.52,9,9,0
23,0.522,9,9,0
24,0.5309,9,9,0
25,0.5338,9,9,0
26,0.5383,9,9,0
27,0.5432,9,9,0
28,0.5497,9,9,0
29,0.5525,9,9,0
30,0.5561,9,9,0
31,0.5624,9,9,0
32,0.5655,9,9,0
33,0.5734,9,9,0
34,0.5678,9,9,0
35,0.5775,9,9,0
36,0.5837,9,9,0
37,0.5859,9,9,0
38,0.5897,9,9,0
39,0.5948,9,9,0
40,0.6006,9,9,0
41,0.6028,9,9,0
42,0.604,9,9,0
43,0.611,9,9,0
44,0.6099,9,9,0
45,0.6127,9,9,0
46,0.6142,9,9,0
47,0.6195,9,9,0
48,0.6192,9,9,0
49,0.6229,9,9,0
