baseline,n_pairs,cbsafe_mean,base_mean,mean_gain,t_p,wilcoxon_p,t_p_holm
mean,36,0.7392,0.1711,0.5682,0.0,0.0,0.0
trimmed,36,0.7392,0.2841,0.4551,0.0,0.0,0.0
median,36,0.7392,0.3038,0.4355,0.0,0.0,0.0
krum,36,0.7392,0.5582,0.181,0.00027,0.0,0.00027
fltrust,36,0.7392,0.6913,0.048,0.0,0.0,0.0
