round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1,28.308361299999888,9,0,2
1,0.1599,26.464286500000526,9,0,2
2,0.1623,26.273633400000108,9,0,2
3,0.1694,26.356946800000514,9,3,2
4,0.2121,24.888094099998852,9,5,2
5,0.2127,23.624130700000023,9,6,2
6,0.2533,23.110915999999634,9,8,2
7,0.2715,21.40311610000026,9,9,2
8,0.3071,21.23938690000068,9,9,2
9,0.3349,21.012693700000455,9,9,2
10,0.3584,21.122587400001066,9,9,3
11,0.3728,20.54708070000015,9,9,3
12,0.372,20.143300100000488,9,9,3
13,0.3943,20.071395000000848,9,9,3
14,0.3833,20.175174400001197,9,9,3
15,0.4227,20.141902900000787,9,9,3
16,0.4422,20.29562739999892,9,9,3
17,0.4534,20.240436000000045,9,9,3
18,0.4495,20.25404350000099,9,9,3
19,0.4683,20.328073999999106,9,9,3
20,0.471,20.36974349999946,9,9,3
21,0.4819,20.1719978000001,9,9,3
22,0.4826,20.613856599999053,9,9,3
23,0.4932,20.258186500001102,9,9,3
24,0.5064,20.07600789999924,9,9,3
25,0.504,20.160583899998528,9,9,3
26,0.5138,20.376214099998833,9,9,3
27,0.519,20.433120699999563,9,9,3
28,0.5219,20.32456379999894,9,9,3
29,0.5319,20.39668680000068,9,9,3
