round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.164,3,3,0
1,0.2348,3,3,0
2,0.2603,3,3,0
3,0.3216,3,3,0
4,0.3334,3,3,0
5,0.3687,3,3,0
6,0.3913,3,3,0
7,0.4035,3,3,0
8,0.4245,3,3,0
9,0.4301,3,3,0
10,0.4432,3,3,0
11,0.4545,3,3,0
12,0.4603,3,3,0
13,0.4649,3,3,0
14,0.4795,3,3,0
15,0.486,3,3,0
16,0.4895,3,3,0
17,0.4993,3,3,0
18,0.4945,3,3,0
19,0.509,3,3,0
20,0.5148,3,3,0
21,0.519,3,3,0
22,0.5221,3,3,0
23,0.5322,3,3,0
24,0.5362,3,3,0
25,0.5399,3,3,0
26,0.5483,3,3,0
27,0.5521,3,3,0
28,0.5577,3,3,0
29,0.5573,3,3,0
30,0.5645,3,3,0
31,0.568,3,3,0
32,0.5738,3,3,0
33,0.5787,3,3,0
34,0.5829,3,3,0
35,0.5862,3,3,0
36,0.5847,3,3,0
37,0.5928,3,3,0
38,0.592,3,3,0
39,0.5983,3,3,0
40,0.601,3,3,0
41,0.6064,3,3,0
42,0.6054,3,3,0
43,0.6123,3,3,0
44,0.6131,3,3,0
45,0.6172,3,3,0
46,0.6198,3,3,0
47,0.6245,3,3,0
48,0.6235,3,3,0
49,0.6298,3,3,0
