attack,aggregator,f,cluster_size,seed,final_acc,final_acc_std,rounds,final_asr,k_clusters,dirty_clusters,clean_frac_observed,clean_frac_theory
signflip_hybrid_tf,ov4,0.1,3,2,0.5063,0.0447,50,,10,3,0.7,0.729
signflip_hybrid_tf,ov4,0.2,3,0,0.1,0.0,50,,10,5,0.5,0.512
signflip_hybrid_tf,ov4,0.2,3,1,0.1,0.0,50,,10,5,0.5,0.512
signflip_hybrid_tf,ov4,0.2,3,2,0.1,0.0,50,,10,5,0.5,0.512
signflip_hybrid_tf,ov4,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip_hybrid_tf,ov4,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip_hybrid_tf,ov4,0.3,3,2,0.1,0.0,50,,10,5,0.5,0.343
signflip_reputation,ov4,0.1,3,0,0.5987,0.0065,50,,10,3,0.7,0.729
signflip_reputation,ov4,0.1,3,1,0.6132,0.0066,50,,10,3,0.7,0.729
signflip_reputation,ov4,0.1,3,2,0.6006,0.0095,50,,10,3,0.7,0.729
signflip_reputation,tf,0.1,3,0,0.6088,0.009,50,,10,3,0.7,0.729
signflip_reputation,tf,0.1,3,1,0.6165,0.0058,50,,10,3,0.7,0.729
signflip_reputation,tf,0.1,3,2,0.6171,0.0046,50,,10,3,0.7,0.729
signflip_reputation,ov4,0.2,3,0,0.5543,0.0069,50,,10,5,0.5,0.512
signflip_reputation,ov4,0.2,3,1,0.582,0.0038,50,,10,5,0.5,0.512
signflip_reputation,ov4,0.2,3,2,0.5907,0.014,50,,10,5,0.5,0.512
signflip_reputation,tf,0.2,3,0,0.1,0.0,50,,10,5,0.5,0.512
signflip_reputation,tf,0.2,3,1,0.1,0.0,50,,10,5,0.5,0.512
signflip_reputation,tf,0.2,3,2,0.1,0.0,50,,10,5,0.5,0.512
signflip_reputation,ov4,0.3,3,0,0.5489,0.0093,50,,10,6,0.4,0.343
signflip_reputation,ov4,0.3,3,1,0.6058,0.0152,50,,10,7,0.3,0.343
signflip_reputation,ov4,0.3,3,2,0.577,0.0104,50,,10,5,0.5,0.343
signflip_reputation,tf,0.3,3,0,0.1,0.0,50,,10,6,0.4,0.343
signflip_reputation,tf,0.3,3,1,0.1,0.0,50,,10,7,0.3,0.343
signflip_reputation,tf,0.3,3,2,0.1,0.0,50,,10,5,0.5,0.343
signflip_reputation_tf,ov4,0.1,3,0,0.5425,0.0081,30,,10,3,0.7,0.729
signflip_reputation_tf,ov4,0.1,3,1,0.5401,0.0076,30,,10,3,0.7,0.729
signflip_reputation_tf,ov4,0.1,3,2,0.5153,0.0086,30,,10,3,0.7,0.729
signflip_reputation_tf,ov4,0.2,3,0,0.1,0.0,30,,10,5,0.5,0.512
signflip_reputation_tf,ov4,0.2,3,1,0.1,0.0,30,,10,5,0.5,0.512
signflip_reputation_tf,ov4,0.2,3,2,0.1,0.0,30,,10,5,0.5,0.512
signflip_reputation_tf,ov4,0.3,3,0,0.1,0.0,30,,10,6,0.4,0.343
signflip_reputation_tf,ov4,0.3,3,1,0.1,0.0,30,,10,7,0.3,0.343
signflip_reputation_tf,ov4,0.3,3,2,0.1,0.0,30,,10,5,0.5,0.343
