gamma,ratio_mean,ratio_std,cos_mean,cos_std,ratio_pred,cos_pred
1,0.6616414,0.13304093,0.4858689876480235,0.2842825739816353,0.3333333333333333,1.0
2,0.859786,0.1886114,0.015452056833439403,0.3794546480452142,0.0,-1.0
3,1.1848503,0.29098728,-0.24197245772100157,0.37945794106374653,0.3333333333333333,-1.0
5,1.9546983,0.52761555,-0.45967857914252414,0.332377664369073,1.0,-1.0
8,3.1923869,0.8842625,-0.5782464358127779,0.2742731294220487,2.0,-1.0
12,4.882478,1.3496864,-0.6411145213836184,0.23063503551448683,3.3333333333333335,-1.0
20,8.296584,2.2654314,-0.6887975358300739,0.1918110898374036,6.0,-1.0
