round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.1138,9,9,0
1,0.225,9,9,0
2,0.2644,9,9,0
3,0.2802,9,9,0
4,0.3305,9,9,0
5,0.3314,9,9,0
6,0.3703,9,9,0
7,0.3804,9,9,0
8,0.4042,9,9,0
9,0.4156,9,9,0
10,0.4293,9,9,0
11,0.434,9,9,0
12,0.445,9,9,0
13,0.4474,9,9,0
14,0.4627,9,9,0
15,0.4697,9,9,0
16,0.4768,9,9,0
17,0.4822,9,9,0
18,0.4843,9,9,0
19,0.4875,9,9,0
20,0.4978,9,9,0
21,0.4968,9,9,0
22,0.5162,9,9,0
23,0.5163,9,9,0
24,0.5242,9,9,0
25,0.5293,9,9,0
26,0.5378,9,9,0
27,0.5338,9,9,0
28,0.5465,9,9,0
29,0.5428,9,9,0
30,0.5511,9,9,0
31,0.5492,9,9,0
32,0.5607,9,9,0
33,0.5622,9,9,0
34,0.5662,9,9,0
35,0.5637,9,9,0
36,0.5795,9,9,0
37,0.5803,9,9,0
38,0.5819,9,9,0
39,0.5853,9,9,0
40,0.5921,9,9,0
41,0.5929,9,9,0
42,0.5952,9,9,0
43,0.6006,9,9,0
44,0.6052,9,9,0
45,0.6061,9,9,0
46,0.6056,9,9,0
47,0.6146,9,9,0
48,0.6171,9,9,0
49,0.6195,9,9,0
