round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.1782,6,6,0
1,0.2363,6,6,0
2,0.2556,6,6,0
3,0.3104,6,6,0
4,0.3252,6,6,0
5,0.3629,6,6,0
6,0.364,6,6,0
7,0.3929,6,6,0
8,0.4055,6,6,0
9,0.422,6,6,0
10,0.4271,6,6,0
11,0.4416,6,6,0
12,0.4425,6,6,0
13,0.4609,6,6,0
14,0.4575,6,6,0
15,0.4767,6,6,0
16,0.4779,6,6,0
17,0.4891,6,6,0
18,0.4857,6,6,0
19,0.4944,6,6,0
20,0.5065,6,6,0
21,0.5069,6,6,0
22,0.5201,6,6,0
23,0.5238,6,6,0
24,0.5253,6,6,0
25,0.5349,6,6,0
26,0.5346,6,6,0
27,0.5396,6,6,0
28,0.5451,6,6,0
29,0.5453,6,6,0
30,0.5513,6,6,0
31,0.5618,6,6,0
32,0.5595,6,6,0
33,0.5648,6,6,0
34,0.5704,6,6,0
35,0.5786,6,6,0
36,0.578,6,6,0
37,0.5884,6,6,0
38,0.586,6,6,0
39,0.5907,6,6,0
40,0.592,6,6,0
41,0.5972,6,6,0
42,0.5993,6,6,0
43,0.602,6,6,0
44,0.6116,6,6,0
45,0.607,6,6,0
46,0.6173,6,6,0
47,0.6187,6,6,0
48,0.6176,6,6,0
49,0.622,6,6,0
