round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest
0,0.1075,32.17207980000239,6,0,0
1,0.1679,36.076014200007194,6,0,0
2,0.2602,34.091334799988545,6,0,0
3,0.2866,32.35292189999018,6,0,0
4,0.3038,33.738853899994865,6,0,0
5,0.3421,32.75553989999753,6,0,0
6,0.3597,33.22310930000094,6,0,0
7,0.3948,31.278244800007087,6,0,0
8,0.4083,31.12035240000114,6,0,0
9,0.4123,31.58060009998735,6,1,0
10,0.4288,31.94788230000995,6,1,0
11,0.4369,30.45729130000109,6,1,0
12,0.4459,30.836443899999722,6,1,0
13,0.4462,31.038787299999967,6,1,0
14,0.4563,30.486029799998505,6,1,0
15,0.4634,31.84070059999067,6,1,0
16,0.4708,30.376689400000032,6,1,0
17,0.4723,31.78672160000133,6,1,0
18,0.4794,30.356955800001742,6,1,0
19,0.4873,29.916222900006687,6,1,0
20,0.4914,31.56579110000166,6,1,0
21,0.4955,30.569498900003964,6,1,0
22,0.5069,30.14613670000108,6,1,0
23,0.509,29.474128699992434,6,1,0
24,0.5174,29.647964299991145,6,1,0
25,0.5212,30.213489399990067,6,1,0
26,0.5246,30.314175399995293,6,1,0
27,0.5294,30.72698790000868,6,1,0
28,0.5316,31.918038500007242,6,1,0
29,0.5332,30.23401700000977,6,1,0
