round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.2085,9,9,0
1,0.2667,9,9,0
2,0.2672,9,9,0
3,0.323,9,9,0
4,0.3318,9,9,0
5,0.3633,9,9,0
6,0.3876,9,9,0
7,0.3937,9,9,0
8,0.4172,9,9,0
9,0.4282,9,9,0
10,0.4345,9,9,0
11,0.4542,9,9,0
12,0.4617,9,9,0
13,0.4792,9,9,0
14,0.4832,9,9,0
15,0.4887,9,9,0
16,0.4968,9,9,0
17,0.5015,9,9,0
18,0.5137,9,9,0
19,0.5162,9,9,0
20,0.5209,9,9,0
21,0.5262,9,9,0
22,0.5325,9,9,0
23,0.5384,9,9,0
24,0.5429,9,9,0
25,0.5485,9,9,0
26,0.5537,9,9,0
27,0.5545,9,9,0
28,0.5604,9,9,0
29,0.564,9,9,0
30,0.568,9,9,0
31,0.573,9,9,0
32,0.5783,9,9,0
33,0.5832,9,9,0
34,0.5824,9,9,0
35,0.5903,9,9,0
36,0.5963,9,9,0
37,0.5981,9,9,0
38,0.6009,9,9,0
39,0.6063,9,9,0
40,0.6123,9,9,0
41,0.6165,9,9,0
42,0.617,9,9,0
43,0.6207,9,9,0
44,0.6204,9,9,0
45,0.6288,9,9,0
46,0.6332,9,9,0
47,0.6312,9,9,0
48,0.6364,9,9,0
49,0.6401,9,9,0
