round,acc,n_malicious,excluded_malicious,excluded_honest
0,0.1917,3,3,0
1,0.2627,3,3,0
2,0.2872,3,3,0
3,0.3067,3,3,0
4,0.3438,3,3,0
5,0.3554,3,3,0
6,0.3842,3,3,0
7,0.3949,3,3,0
8,0.4193,3,3,0
9,0.4285,3,3,0
10,0.4305,3,3,0
11,0.4548,3,3,0
12,0.4592,3,3,0
13,0.4728,3,3,0
14,0.4716,3,3,0
15,0.4867,3,3,0
16,0.4913,3,3,0
17,0.504,3,3,0
18,0.5026,3,3,0
19,0.5123,3,3,0
20,0.5207,3,3,0
21,0.5235,3,3,0
22,0.5243,3,3,0
23,0.5314,3,3,0
24,0.5341,3,3,0
25,0.546,3,3,0
26,0.5412,3,3,0
27,0.5513,3,3,0
28,0.553,3,3,0
29,0.555,3,3,0
30,0.5602,3,3,0
31,0.5687,3,3,0
32,0.5664,3,3,0
33,0.5771,3,3,0
34,0.5782,3,3,0
35,0.5827,3,3,0
36,0.5886,3,3,0
37,0.5881,3,3,0
38,0.5957,3,3,0
39,0.5955,3,3,0
40,0.6,3,3,0
41,0.6035,3,3,0
42,0.6033,3,3,0
43,0.6097,3,3,0
44,0.6145,3,3,0
45,0.6142,3,3,0
46,0.6178,3,3,0
47,0.6235,3,3,0
48,0.6241,3,3,0
49,0.6284,3,3,0
